id,name,type,birth,age,position,country,height,number
RK,Roosa Koskelo,0,1991,3,0,1,0,1
LG,Lena Grundt,0,2004,0,0,0,0,5
LB,Lara Berger,0,2001,0,1,0,3,15
KR,Krystal Rivers,0,1994,3,1,2,1,13
HD,Helena Dornheim,0,2004,0,2,0,2,14
HJ,Hester Jasper,0,2001,0,2,3,1,6
MSP,Maria Segura Palleres ,0,1992,3,2,4,2,3
SL,Simone Lee,0,1996,2,2,2,2,10
JN,Julia Nowicka,0,1998,1,3,5,1,
IVdV,Ilka Van de Vyver,0,1993,3,3,6,1,
HK,Hannah Kohn ,0,2003,0,3,0,2,
ET,Eline Timmerman,0,1998,1,4,3,3,
MT,Mira Todorova,0,1994,3,4,7,2,17
JL,Juliet Lohuis,0,1996,2,4,3,2,4
SU,Set-up '65,1,,,,,,
TTP,Talent Team Papendal,1,,,,,,
EA,Eurosped Almelo,1,,,,,,
CA,Coolen Alterno,1,,,,,,
UM,USC Münster,1,,,,,,
RC,RC Cannes,1,,,,,,
VLC,Volero Le Cannet,1,,,,,,
VZ,Volero Zürich,1,,,,,,
LCVB,Le Cannet Volley Ball,1,,,,,,
SAP,Sm'Aesch Pfeffingen,1,,,,,,
VM,VC Maritza,1,,,,,,
AA,Alterno Apeldoorn,1,,,,,,
EuT,Eurosped Twente,1,,,,,,
LIBA,Ladies in Black Aachen,1,,,,,,
VU,VfB Ulm,1,,,,,,
OS,Olympiastützpunkt Stuttgart,1,,,,,,
BS,Bundesstützpunkt Stuttgart,1,,,,,,
AK,Asterix Kieldrecht,1,,,,,,
IBF,Il Bisonte Firenze,1,,,,,,
CL,Calcit Ljubljana,1,,,,,,
RRV,Rote Raben Vilsbiburg,1,,,,,,
CT,CSM Târgoviște,1,,,,,,
GBL,Grot Budowlani Łódź,1,,,,,,
BKS,BKS Profi Credit Bielsko-Biała,1,,,,,,
KS,KS Pałac Bydgoszcz U20,1,,,,,,
SMS,SMS PZPS Szczyrk,1,,,,,,
KAF,Kurobe AquaFairies,1,,,,,,
BEY,Beylikdüzü,1,,,,,,
IVC,Imoco Volley Conegliano,1,,,,,,
PSU,Penn State Univ.,1,,,,,,
BVMB,Banca Valsabbina Millenium Brescia,1,,,,,,
DSC,Dresdner SC 1898,1,,,,,,
BSBC,Bosca San Bernardo Cuneo,1,,,,,,
STM,Saugella Team Monza,1,,,,,,
DIT,Delta Informatica Trentino,1,,,,,,
GHO,Geovillage Hermaea Olbia,1,,,,,,
CVB,CV Barcelona,1,,,,,,
VSLT,VfB Suhl Lotto Thüringen,1,,,,,,
VCS,VC Sneek,1,,,,,,
AMS,Allianz MTV Stuttgart II,1,,,,,,
UOA,University of Alabama,1,,,,,,
BA,Beziers Angels,1,,,,,,
LBMNE,Luka Bar (MNE),1,,,,,,
FVT,FV Tübinger Modell,1,,,,,,
BMS,BSP MTV Stuttgart,1,,,,,,
VCOB,VCO Berlin,1,,,,,,
ONKB,OK Nova KBM Branik,1,,,,,,
LPV,LP Viesti,1,,,,,,
LPK,LP Kangasala,1,,,,,,
HL,Hämeenlinnan Lentopallokerho,1,,,,,,
K,Kimmo,1,,,,,,
SP,Someron Pallo,1,,,,,,
EJMS,Eigene Jugend MTV Stuttgart,1,,,,,,
DE,Deutschland,1,,,,,,
FL,Finnland,1,,,,,,
USA,USA ,1,,,,,,
NL,Niederlande,1,,,,,,
SPA,Spanien ,1,,,,,,
PO,Polen ,1,,,,,,
BE,Belgien ,1,,,,,,
BU,Bulgarien ,1,,,,,,